Lat,Lon,Original_ID,ordercode,serialno,floor,Service_Time,Freq,Address,Depot_Raw,Node_ID,Order_Count,Nearest_Anchor,Anchor_Type,Anchor_Distance_km,Cluster_ID,Travel_Time,Total_Time
25.03662,121.47758,71416 福典建設有限公司,RT20250000012807,1190,1,8.0,1x,新北市板橋區華江三路32-60號-1F,5D-五股倉,N_1437,1,台64-板橋,TH64,1.8419807031559787,11,7.606928568210102,15.606928568210101
25.03676,121.44313,72961 千瑞-禾蓮心家園,RT20250000011853,1195,1,8.0,1x,新北市新莊區公園一路84號對面,5D-五股倉,N_1438,1,台65-新莊,TH65,1.4291424452138932,10,22.85722266457344,30.85722266457344
25.03679,121.54508,67093 樹盛-大安區,RT20250000010811,1325,1,8.0,1x,臺北市大安區大安路１段176巷23號旁,5A-平鎮倉,N_1439,1,國1-圓山,N1,4.186810801001647,8,10.271105246176338,18.27110524617634
25.03681,121.29301,77019 德億營造-河底段,RT202500007804,1415,1,8.0,1x,桃園市蘆竹區南福街255巷37號對面,5A-平鎮倉,N_1440,1,國1-桃園,N1,0.5320618011108111,10,3.8629479970306178,11.862947997030618
25.03711,121.53154,73556 維昌營造-臨沂街,RT202500006776,1320,1,8.0,1x,臺北市中正區臨沂街71巷19弄23號,5A-平鎮倉,N_1441,1,國1-圓山,N1,3.946664628293777,8,9.307902854926072,17.30790285492607
25.03725,121.14353,74318 新傳成-觀音草新段,RT20240000010887,1450,1,8.0,1x,桃園市觀音區新生路1110號對面,5A-平鎮倉,N_1442,1,台66-平鎮,TH66,9.231729432517746,9,1.9162096732523584,9.916209673252359
25.03754,121.14386,74318 新傳成-觀音草新段,RT2025000329,1450,1,8.0,1x,桃園市觀音區新生路1110號對面,5A-平鎮倉,N_1443,1,台66-平鎮,TH66,9.259048291766945,9,1.9587902877038974,9.958790287703897
25.03761,121.06415,76424 椿城工程-永光化學,RT202500005190,1450,1,16.0,1x,桃園市觀音區大潭北路399號,5A-平鎮倉,N_1444,2,台61-觀音,TH61,1.5008325474803101,9,11.36442203754642,27.36442203754642
25.03772,121.5314,69326 金藏營造-聯上台電,RT202500005911,1320,10,18.0,1x,臺北市中正區仁愛路二段96號旁工地,5A-平鎮倉,N_1445,1,國1-圓山,N1,3.8798522231399195,8,9.204078256897064,27.204078256897063
25.03773,121.53479,77018 頡笙營造-幸安國小,RT202500007800,1325,1,8.0,1x,臺北市大安區仁愛路三段22號-大安區幸安國民小學對面,5A-平鎮倉,N_1446,1,國1-圓山,N1,3.8765464698806866,8,9.390960506713435,17.390960506713434
25.03775,121.53124,69326 金藏營造-聯上台電,RT202500008540,1320,13,18.0,1x,臺北市中正區仁愛路二段96號旁工地-13F,5A-平鎮倉,N_1447,1,國1-圓山,N1,3.8775334109024966,8,9.191186810929587,27.191186810929587
25.0378,121.30011,78377 森峰營造股份有限公司,RT20250000014007,1415,1,16.0,1x,桃園市蘆竹區建新街43號旁,5A-平鎮倉,N_1448,2,國1-桃園,N1,0.26750999999973146,10,3.128720579012473,19.128720579012473
25.038,121.53161,69326 金藏營造-聯上台電,RT202500003294,1320,7,18.0,1x,臺北市中正區仁愛路二段96號旁工地,5A-平鎮倉,N_1449,1,國1-圓山,N1,3.8476122711629808,8,9.17054736028103,27.17054736028103
25.0381,121.28161,59934 大陸工程-蘆興街,RT20240000014521,1440,1,32.0,2x,桃園市大園區三民路２段957號(三民料場帳棚旁)(24號.32號)),5A-平鎮倉,N_1450,4,國1-桃園,N1,1.786300414292672,10,5.114517443839661,37.11451744383966
25.03812,121.52778,70844 富泰11203仁愛路,RT20250000011842,1320,1,8.0,1x,臺北市中正區仁愛路2段44號,5A-平鎮倉,N_1451,1,國1-圓山,N1,3.878409517336175,8,8.972961359939461,16.97296135993946
25.03814,121.57632,76522 弘原營造-松德路二期,RT202500005606,1345,1,8.0,1x,臺北市信義區松德路88號-2期,5A-平鎮倉,N_1452,1,國1-內湖,N1,3.3639474779735856,3,12.048798825732224,20.048798825732224
25.0382,121.53161,69326 金藏營造-仁愛路 | 69326 金藏營造-聯上台電,"RT202500004566,RT2025000346",1320,"1,4",26.0,1x,臺北市中正區仁愛路二段96號旁工地,5A-平鎮倉,N_1453,2,國1-圓山,N1,3.825438793707769,8,9.13891045081313,35.13891045081313
25.03832,121.13535,76130 泉壽建設-大觀段395號地號,RT202500003764,1450,1,16.0,1x,桃園市觀音區二聖路331號旁巷子,5A-平鎮倉,N_1454,2,台61-觀音,TH61,9.150352078440182,9,0.5731774818746472,16.573177481874648
25.03833,121.2932,77281 上裕開發-南福街,RT202500009163,1415,1,16.0,1x,桃園市蘆竹區南福街192號對面工地,5A-平鎮倉,N_1455,2,國1-桃園,N1,0.5029525016348728,10,3.644934556359366,19.644934556359367
25.03861,121.13327,76141 伯皇營造-觀音,RT202500003807,1450,1,8.0,1x,桃園市觀音區聖心二街175號附近,5A-平鎮倉,N_1456,1,台61-觀音,TH61,8.924483482929514,9,0.28056002491684784,8.280560024916849
25.03873,121.28274,57802 大陸工程 | 62252 大陸工程,"RT20240000014498,RT20240000014501",1415,1,32.0,2x,桃園市蘆竹區中正北路與南竹路二段交叉口捷運工程工地-電聯定位,5A-平鎮倉,N_1457,4,國1-桃園,N1,1.6637655924140202,10,4.899890193904048,36.89989019390405
25.03878,121.15977,76327 順泰營造-廣大段,RT202500004451,1450,1,8.0,1x,桃園市觀音區廣大路839號,5A-平鎮倉,N_1458,1,台66-平鎮,TH66,9.346004161386247,9,4.568188753575952,12.568188753575953
25.03879,121.15977,76327 順泰營造-廣大段,RT202500007004,1450,1,8.0,1x,桃園市觀音區廣大路839號,5A-平鎮倉,N_1459,1,台66-平鎮,TH66,9.347111719681557,9,4.568113235499618,12.568113235499618
25.03881,121.52351,71310 福住建設,RT20250000012311,1320,1,16.0,1x,臺北市中正區紹興南街24巷2號,5A-平鎮倉,N_1460,2,國1-圓山,N1,3.9072565480989856,8,8.71088005835736,24.71088005835736
25.03909,121.62292,76258 紹華營造-南港中南段,RT202500004200,1365,1,8.0,1x,臺北市南港區舊莊街一段215巷口,5A-平鎮倉,N_1461,1,國3-汐止系統,N3,4.479529560045241,3,7.11613971222432,15.11613971222432
25.03913,121.12776,72181 永融-草漯四戶,RT20250000013172,1450,1,8.0,1x,桃園市觀音區民族路882號,5A-平鎮倉,N_1462,1,台61-觀音,TH61,8.324464117671555,9,0.7807120722943565,8.780712072294357
25.03915,121.13206,75752 惟昌營造-觀音,RT202500002163,1450,1,8.0,1x,桃園市觀音區聖心一街175號對面工地,5A-平鎮倉,N_1463,1,台61-觀音,TH61,8.798230508964934,9,0.15480906495239394,8.154809064952394
25.0393,121.52781,73372 益杉恆-中正,RT202400007032,1320,1,8.0,1x,臺北市中正區泰安街7號,5A-平鎮倉,N_1464,1,國1-圓山,N1,3.7485881718859466,8,8.783993251638101,16.7839932516381
25.03956,121.53344,67888 千倫實業-大安區,RT20250000011805,1325,1,8.0,1x,臺北市大安區仁愛路3段5巷14號,5A-平鎮倉,N_1465,1,國1-圓山,N1,3.669915373373471,3,18.25612155746725,26.25612155746725
25.03994,121.62638,78370 高技工程-汐止,RT20250000013992,1100,1,8.0,1x,新北市汐止區東勢街2號對面工地,5D-五股倉,N_1466,1,國3-汐止系統,N3,4.1943793353602254,3,6.832052837490279,14.832052837490279
25.03999,121.52568,70367 嘉圓營造,RT202500009198,1320,1,8.0,1x,臺北市中正區杭州南路一段69號旁,5A-平鎮倉,N_1467,1,國1-圓山,N1,3.7195710537353155,8,8.58879168302968,16.58879168302968
25.04,121.387,77156 麒燿營造-青山路,RT202500008650,1410,1,8.0,1x,桃園市龜山區青山路與文青路交叉口工地內,5A-平鎮倉,N_1468,1,國1-林口,N1,3.944137976266699,1,7.858386571834121,15.85838657183412
25.04016,121.13137,74504 永旭建設-觀音,RT20250000011305,1450,1,8.0,1x,"桃園市觀音區大觀路三段-25°02'24.5""N 121°07'52.8""E",5A-平鎮倉,N_1469,1,台61-觀音,TH61,8.736825962493343,9,0.16657548182095383,8.166575481820955
25.04057,121.29708,77396 長友營造-長榮航空園區,RT202500009716,1415,1,16.0,2x,桃園市蘆竹區新南路１段376號-長榮航空園區-電聯定位,5A-平鎮倉,N_1470,2,國1-桃園,N1,0.3150777575457506,10,2.9582753587664308,18.958275358766432
25.04065,121.52377,76038 麗高-中正區徐州路19號,RT202500009420,1320,1,8.0,1x,臺北市中正區徐州路19號,5A-平鎮倉,N_1471,1,國1-圓山,N1,3.703161340074838,3,19.70065022504503,27.70065022504503
25.04066,121.52373,76038 麗高-中正區徐州路19號,RT202500003203,1320,1,8.0,1x,臺北市中正區徐州路19號,5A-平鎮倉,N_1472,1,國1-圓山,N1,3.703368582899198,3,19.70637853996868,27.70637853996868
25.04113,121.53486,63258 福住-新生南路,RT20250000013404,1325,1,8.0,1x,臺北市大安區新生南路1段97巷11號,5A-平鎮倉,N_1473,1,國1-圓山,N1,3.499903726388038,3,17.940659239921043,25.940659239921043
25.04126,121.06793,75058 玄通營造,RT20250000012968,1450,1,32.0,2x,桃園市觀音區環科路528號-聯華二期,5A-平鎮倉,N_1474,4,台61-觀音,TH61,2.0812411140610063,9,10.729866729652217,42.729866729652215
25.0413,121.16158,77058  祥鼎營造-廣大段-#銜接73791 福泰開發,RT202500007984,1440,1,8.0,1x,桃園市觀音區(大園區)廣大路1016巷65弄36號,5A-平鎮倉,N_1475,1,台66-平鎮,TH66,9.640145029962504,9,4.869412416871069,12.869412416871068
25.04158,121.13272,73114 上亞營造-富溪段,RT20240000010007,1450,1,8.0,1x,桃園市觀音區一心路全,5A-平鎮倉,N_1476,1,台61-觀音,TH61,8.907827262581028,9,0.26496919758244,8.26496919758244
25.04167,121.42372,75135 樂煬有限-泰山,RT20250000012836,1230,1,8.0,1x,"新北市泰山區明志路三段74巷-25°02'31.2""N 121°25'25.8""E",5D-五股倉,N_1477,1,台65-新莊,TH65,2.238955661523528,1,9.257887931748938,17.25788793174894
25.04178,121.50923,74135 遠揚營造-中正區,RT202500009551,1320,1,16.0,1x,臺北市中正區延平南路&寶慶路交叉口,5A-平鎮倉,N_1478,2,國1-台北,N1,4.042108093618899,8,8.131398863142817,24.131398863142817
25.04181,121.57397,71790 吉宗營造,RT20250000014019,1345,1,8.0,1x,臺北市信義區忠孝東路５段345巷12號,5A-平鎮倉,N_1479,1,國1-內湖,N1,3.15688676094034,3,12.036617535002788,20.03661753500279
25.04187,121.52708,76007 朋揚營造-真耶穌教會外觀,RT202500003109,1320,1,8.0,1x,臺北市中正區杭州南路1段29號,5A-平鎮倉,N_1480,1,國1-圓山,N1,3.4825734177853285,3,19.113354094491008,27.113354094491008
