Cluster_ID,Node_Count,Service_Time_Sum,Travel_Time_Sum,Total_Time_Sum,Overload
0,196,2287.0,946.9330166296111,3233.933016629611,False
1,153,2147.0,1085.2614439326105,3232.2614439326103,False
2,161,2109.0,1119.4471317347825,3228.4471317347825,False
3,128,1493.0,1585.1390093661598,3078.13900936616,False
4,174,1838.0,1387.5980076300837,3225.598007630084,False
5,83,1315.0,581.033011778348,1896.033011778348,False
6,176,2102.0,1137.1307067435764,3239.1307067435764,False
7,170,1897.0,1332.2741307856554,3229.2741307856554,False
8,158,2030.0,1202.3267824084048,3232.3267824084046,False
9,169,2298.0,934.7080672685183,3232.7080672685183,False
10,130,1755.0,1337.52102635806,3092.5210263580598,False
11,149,2138.5,1090.488738394326,3228.988738394326,False
12,218,2408.0,829.2579591357452,3237.2579591357453,False
13,162,2137.0,1096.6553035426216,3233.655303542622,False
